date,label,open,high,low,close,volume
1/22/2020 0:00,ETH/USD,169.33,171.32,165.65,167.7,3046617.05
1/21/2020 0:00,ETH/USD,166.86,169.99,164.89,169.33,4530897.63
1/20/2020 0:00,ETH/USD,166.8,169,161.05,166.86,5561731.08
1/19/2020 0:00,ETH/USD,173.58,177.56,161.21,166.8,14248637.84
1/18/2020 0:00,ETH/USD,169.22,178.97,165,173.58,15734589.21
1/17/2020 0:00,ETH/USD,164.03,174,161.09,169.22,17565190.44
1/16/2020 0:00,ETH/USD,166.05,167.11,158.3,164.03,10817182.22
1/15/2020 0:00,ETH/USD,164.98,171.16,159,166.05,21907582.27
1/14/2020 0:00,ETH/USD,143.47,170,143.47,164.98,33585307.72
1/13/2020 0:00,ETH/USD,146.34,147.59,142.24,143.47,3707211
1/12/2020 0:00,ETH/USD,142.41,146.35,141.54,146.34,3260828.07
1/11/2020 0:00,ETH/USD,144.57,147.76,142.02,142.48,5270019.63
1/10/2020 0:00,ETH/USD,137.72,144.96,135.34,144.57,5882200.9
1/9/2020 0:00,ETH/USD,140.5,141.32,135.33,137.72,4092931.35
1/8/2020 0:00,ETH/USD,143.09,147.98,137.3,140.5,9277852.27
1/7/2020 0:00,ETH/USD,144.18,144.99,139.05,143.09,7078877.5
1/6/2020 0:00,ETH/USD,135.6,144.27,135.09,144.18,9387929.69
1/5/2020 0:00,ETH/USD,134.55,138.45,134.42,135.6,6282193.4
1/4/2020 0:00,ETH/USD,134.83,136.35,133.12,134.56,3167110.43
1/3/2020 0:00,ETH/USD,127.56,135.81,126.36,134.83,10095235.58
1/2/2020 0:00,ETH/USD,130.94,130.94,126.84,127.56,6035281.21
1/1/2020 0:00,ETH/USD,129.45,133.24,128.9,130.94,4897383.58
12/31/2019 0:00,ETH/USD,131.83,133.95,128.31,129.45,4778223.42
12/30/2019 0:00,ETH/USD,134.9,136.58,130.56,131.83,4647460.25
12/29/2019 0:00,ETH/USD,128.49,138.63,128.03,134.9,6573677
12/28/2019 0:00,ETH/USD,126.92,130.28,126.69,128.48,2448659.09
12/27/2019 0:00,ETH/USD,126.15,127.46,122.77,126.92,5631112.19
12/26/2019 0:00,ETH/USD,125.32,132.9,124.6,126.15,4743041.96
12/25/2019 0:00,ETH/USD,128.04,128.11,123.78,125.32,4044777.63
12/24/2019 0:00,ETH/USD,128.22,129.9,127.15,128.04,1549019.76
12/23/2019 0:00,ETH/USD,132.77,135.96,125.95,128.22,7717837.9
12/22/2019 0:00,ETH/USD,127.5,133.61,127.4,132.77,3201271.37
12/21/2019 0:00,ETH/USD,128.9,129.01,127.12,127.5,899809.2
12/20/2019 0:00,ETH/USD,128.68,129.97,126.23,128.9,2200694.69
12/19/2019 0:00,ETH/USD,133.5,134.82,126.51,128.68,4441179.11
12/18/2019 0:00,ETH/USD,122.81,135.13,116.72,133.5,14288477.47
12/17/2019 0:00,ETH/USD,133.34,133.47,120.35,122.81,13026273.78
12/16/2019 0:00,ETH/USD,143.11,143.39,130.13,133.34,8678321.17
12/15/2019 0:00,ETH/USD,142.56,144.83,140.57,143.11,2390325.4
